Well,Omit,Sample,Target,Dye,Task,Cq,Quantity
A1,false,Sample 1,Target 1,SYBR,Unknown,12.668290300318251,3084.20436100988
A2,false,Sample 1,Target 1,SYBR,Unknown,12.686129040656425,3048.212212414999
A3,false,Sample 1,Target 1,SYBR,Unknown,12.857457845370735,2723.221205767808
A4,false,Sample 1,Target 1,SYBR,Unknown,12.516518539521066,3408.1321098575354
A5,false,Sample 1,Target 1,SYBR,Unknown,11.989867987678839,4819.726657155256
A6,false,Sample 1,Target 1,SYBR,Unknown,11.701419232517491,5827.136351836173
A10,false,10000,Target 1,SYBR,Standard,10.832358184836984,10000
A11,false,10000,Target 1,SYBR,Standard,10.83244704804428,10000
A12,false,10000,Target 1,SYBR,Standard,10.80306243006952,10000
B1,false,Sample 1,Target 1,SYBR,Unknown,12.770317114383953,2883.938296110235
B2,false,Sample 1,Target 1,SYBR,Unknown,12.710854530548549,2999.018590758452
B3,false,Sample 1,Target 1,SYBR,Unknown,12.840724024743352,2753.373352585244
B4,false,Sample 1,Target 1,SYBR,Unknown,12.533281730643047,3370.7445644646787
B5,false,Sample 1,Target 1,SYBR,Unknown,12.089809774035018,4512.955843516057
B6,false,Sample 1,Target 1,SYBR,Unknown,11.991590704656307,4814.266097827922
B10,false,1000,Target 1,SYBR,Standard,14.449367342238848,1000
B11,false,1000,Target 1,SYBR,Standard,14.372263567212613,1000
B12,false,1000,Target 1,SYBR,Standard,14.278227686046375,1000
C1,false,Sample 1,Target 1,SYBR,Unknown,14.787988352111455,764.4985591020171
C2,false,Sample 1,Target 1,SYBR,Unknown,14.89077576044074,714.499823877287
C3,false,Sample 1,Target 1,SYBR,Unknown,15.020914640810688,655.8599144198727
C4,false,Sample 1,Target 1,SYBR,Unknown,14.688439847069976,816.254528724304
C5,false,Sample 1,Target 1,SYBR,Unknown,14.185798558824253,1136.2404172789031
C6,false,Sample 1,Target 1,SYBR,Unknown,13.96425101208559,1314.5708698182266
C10,false,100,Target 1,SYBR,Standard,17.992090281430812,100
C11,false,100,Target 1,SYBR,Standard,18.32718346665414,100
C12,false,100,Target 1,SYBR,Standard,17.922830933825644,100
D1,false,Sample 1,Target 1,SYBR,Unknown,14.793133940966374,761.9143739217601
D2,false,Sample 1,Target 1,SYBR,Unknown,14.902639466540549,708.9436563922501
D3,false,Sample 1,Target 1,SYBR,Unknown,15.028921049450695,652.4136211535041
D4,false,Sample 1,Target 1,SYBR,Unknown,14.644658058813405,840.1126923927019
D5,false,Sample 1,Target 1,SYBR,Unknown,14.192906248311129,1130.9385313131822
D6,false,Sample 1,Target 1,SYBR,Unknown,14.034699961127675,1255.021400322285
D10,false,10,Target 1,SYBR,Standard,21.23978424609018,10
D11,false,10,Target 1,SYBR,Standard,21.311503749539163,10
D12,false,10,Target 1,SYBR,Standard,21.19412846831026,10
E10,false,NTC,Target 1,SYBR,Negative Control,23.53703539885153,
E11,false,NTC,Target 1,SYBR,Negative Control,23.451299146425157,
E12,false,NTC,Target 1,SYBR,Negative Control,23.281354313668558,
