"Pedigree name","Individual name","DateSampled","FieldID1","IndividualSampleLocation"
OtsAC20CEDC,OtsAC20CEDC_0001,9/1/2020,1151,Cedar Creek Hatchery
OtsAC20CEDC,OtsAC20CEDC_0002,9/1/2020,1152,Cedar Creek Hatchery
OtsAC20CEDC,OtsAC20CEDC_0003,9/1/2020,1153,Cedar Creek Hatchery
OtsAC20CEDC,OtsAC20CEDC_0004,9/1/2020,1154,Cedar Creek Hatchery
OtsAC20CEDC,OtsAC20CEDC_0005,9/1/2020,1155,Cedar Creek Hatchery
OtsAC20CEDC,OtsAC20CEDC_0006,9/1/2020,1156,Cedar Creek Hatchery
OtsAC20CEDC,OtsAC20CEDC_0007,9/1/2020,1157,Cedar Creek Hatchery
OtsAC20CEDC,OtsAC20CEDC_0008,9/1/2020,1158,Cedar Creek Hatchery
OtsAC20CEDC,OtsAC20CEDC_0009,9/1/2020,1159,Cedar Creek Hatchery
OtsAC20CEDC,OtsAC20CEDC_0010,9/1/2020,1160,Cedar Creek Hatchery
OtsAC20CEDC,OtsAC20CEDC_0011,9/1/2020,1161,Cedar Creek Hatchery
OtsAC20CEDC,OtsAC20CEDC_0012,9/1/2020,1162,Cedar Creek Hatchery
OtsAC20CEDC,OtsAC20CEDC_0013,9/1/2020,1163,Cedar Creek Hatchery
OtsAC20CEDC,OtsAC20CEDC_0014,9/1/2020,1164,Cedar Creek Hatchery
OtsAC20CEDC,OtsAC20CEDC_0015,9/1/2020,1165,Cedar Creek Hatchery
OtsAC20CEDC,OtsAC20CEDC_0016,9/1/2020,1166,Cedar Creek Hatchery
OtsAC20CEDC,OtsAC20CEDC_0017,9/1/2020,1167,Cedar Creek Hatchery
OtsAC20CEDC,OtsAC20CEDC_0018,9/1/2020,1168,Cedar Creek Hatchery
OtsAC20CEDC,OtsAC20CEDC_0019,9/1/2020,1169,Cedar Creek Hatchery
OtsAC20CEDC,OtsAC20CEDC_0020,9/1/2020,1170,Cedar Creek Hatchery
OtsAC20CEDC,OtsAC20CEDC_0021,9/1/2020,1171,Cedar Creek Hatchery
OtsAC20CEDC,OtsAC20CEDC_0022,9/1/2020,1172,Cedar Creek Hatchery
OtsAC20CEDC,OtsAC20CEDC_0023,9/1/2020,1173,Cedar Creek Hatchery
OtsAC20CEDC,OtsAC20CEDC_0024,9/1/2020,1174,Cedar Creek Hatchery
OtsAC20CEDC,OtsAC20CEDC_0025,9/1/2020,1175,Cedar Creek Hatchery
