Population	Pedigree	Sample	field_id	date	stream	location	run	sex	meps	fl	origin	lat	lon	reach_id	Basin	StreamName	DownUTME	DownUTMN
NESR	OtsAC20CEDC	OtsAC20CEDC_0051	1121	9/10/20	Cedar Creek	Cedar Creek Hatchery	Spring	M	NA	595	HOR	45.212638	-123.84823	NA	NA	NA	NA	NA
NESR	OtsAC20CEDC	OtsAC20CEDC_0052	1122	9/10/20	Cedar Creek	Cedar Creek Hatchery	Spring	M	NA	640	HOR	45.212638	-123.84823	NA	NA	NA	NA	NA
NESR	OtsAC20CEDC	OtsAC20CEDC_0053	1123	9/10/20	Cedar Creek	Cedar Creek Hatchery	Spring	M	NA	620	HOR	45.212638	-123.84823	NA	NA	NA	NA	NA
NESR	OtsAC20CEDC	OtsAC20CEDC_0054	1124	9/10/20	Cedar Creek	Cedar Creek Hatchery	Spring	M	NA	690	HOR	45.212638	-123.84823	NA	NA	NA	NA	NA
NESR	OtsAC20CEDC	OtsAC20CEDC_0055	1125	9/10/20	Cedar Creek	Cedar Creek Hatchery	Spring	M	NA	755	HOR	45.212638	-123.84823	NA	NA	NA	NA	NA
NESR	OtsAC20CEDC	OtsAC20CEDC_0056	1126	9/10/20	Cedar Creek	Cedar Creek Hatchery	Spring	F	NA	730	HOR	45.212638	-123.84823	NA	NA	NA	NA	NA
NESR	OtsAC20CEDC	OtsAC20CEDC_0057	1127	9/10/20	Cedar Creek	Cedar Creek Hatchery	Spring	M	NA	765	HOR	45.212638	-123.84823	NA	NA	NA	NA	NA
NESR	OtsAC20CEDC	OtsAC20CEDC_0058	1128	9/10/20	Cedar Creek	Cedar Creek Hatchery	Spring	M	NA	690	HOR	45.212638	-123.84823	NA	NA	NA	NA	NA
NESR	OtsAC20CEDC	OtsAC20CEDC_0059	1129	9/10/20	Cedar Creek	Cedar Creek Hatchery	Spring	F	NA	730	HOR	45.212638	-123.84823	NA	NA	NA	NA	NA
NESR	OtsAC20CEDC	OtsAC20CEDC_0060	1130	9/10/20	Cedar Creek	Cedar Creek Hatchery	Spring	M	NA	465	HOR	45.212638	-123.84823	NA	NA	NA	NA	NA
NESR	OtsAC20CEDC	OtsAC20CEDC_0061	1131	9/10/20	Cedar Creek	Cedar Creek Hatchery	Spring	F	NA	725	HOR	45.212638	-123.84823	NA	NA	NA	NA	NA
NESR	OtsAC20CEDC	OtsAC20CEDC_0062	1132	9/10/20	Cedar Creek	Cedar Creek Hatchery	Spring	F	NA	685	HOR	45.212638	-123.84823	NA	NA	NA	NA	NA
NESR	OtsAC20CEDC	OtsAC20CEDC_0063	1133	9/10/20	Cedar Creek	Cedar Creek Hatchery	Spring	M	NA	655	HOR	45.212638	-123.84823	NA	NA	NA	NA	NA
NESR	OtsAC20CEDC	OtsAC20CEDC_0064	1134	9/10/20	Cedar Creek	Cedar Creek Hatchery	Spring	F	NA	700	HOR	45.212638	-123.84823	NA	NA	NA	NA	NA
NESR	OtsAC20CEDC	OtsAC20CEDC_0065	1135	9/10/20	Cedar Creek	Cedar Creek Hatchery	Spring	F	NA	735	HOR	45.212638	-123.84823	NA	NA	NA	NA	NA
NESR	OtsAC20CEDC	OtsAC20CEDC_0066	1136	9/10/20	Cedar Creek	Cedar Creek Hatchery	Spring	M	NA	705	HOR	45.212638	-123.84823	NA	NA	NA	NA	NA
NESR	OtsAC20CEDC	OtsAC20CEDC_0067	1137	9/10/20	Cedar Creek	Cedar Creek Hatchery	Spring	M	NA	690	HOR	45.212638	-123.84823	NA	NA	NA	NA	NA
NESR	OtsAC20CEDC	OtsAC20CEDC_0068	1138	9/10/20	Cedar Creek	Cedar Creek Hatchery	Spring	M	NA	630	HOR	45.212638	-123.84823	NA	NA	NA	NA	NA
NESR	OtsAC20CEDC	OtsAC20CEDC_0069	1139	9/10/20	Cedar Creek	Cedar Creek Hatchery	Spring	M	NA	450	HOR	45.212638	-123.84823	NA	NA	NA	NA	NA
NESR	OtsAC20CEDC	OtsAC20CEDC_0070	1140	9/10/20	Cedar Creek	Cedar Creek Hatchery	Spring	M	NA	510	HOR	45.212638	-123.84823	NA	NA	NA	NA	NA
